model,type,review
T2x,发热赛道,用户在天猫vivo官方旗舰店购机T2x，反馈充电的时候充电器冒烟，手机发热严重，造成家里的电线出现损坏，麻烦核实处理地址：甘肃省武威市凉州区新华镇
T2x,内置程序,机器出现指纹解锁不灵敏，点击电池图标外部显示不在外部显现的问题，现要求换机处理。所在位置：广东东莞寮步镇
T2x,性能赛道,来访用户名：宋亚轩.用户地址：河北省石家庄市栾城区窦妪镇反馈内容：用户来访在线客服7527反应手机才买了十多天没有安装任何拍摄软件，就是工作需要才拍个照片或者录个视频，结果经常一打开摄像机先卡顿两秒然后正常了，昨天打开拍照功能竟然死机了。目前需要一个解决方案。客服引导排查，用户不接受，表示就是手机的问题，引导其前往服务中心检测，用户不接受表示不方便寄修服务中心也太远了，客服安抚致歉表示帮其反馈。反馈平台：vivo官网反馈人：张楷
T2x,性能赛道,机器反应慢，扫码无反应。6月29日送修至北京市朝阳区合生汇售后，故障未重现，建议其观察使用。其取机后发现故障依旧。同时下载了一个北京企业登记e窗通APP，在使用相关功能时发现有一个138的陌生号码，怀疑手机被别人使用过。
T2x,内置程序,用户问题：在专卖店买的手机给其拿了样品机，使用三天手机锁屏了不能打开，前往门店，表示自己不记得设置过密码，耽搁了其的时间，没有记住是样品机。微信自动掉线。表示体验不好，因为密码的情况跑了两天时间，表示买的时候说一个月之内包换，现在说不行就是二手机了。门店表示老人都知道怎么设，强调表示自己没有设置过锁屏密码，当时购买的不是原装拆封的不是新机器，设置时是直接录入的指纹。去找售后刷了个机解开了手机，表示第一次使用vivo手机体验很不好。门店地址：山东省威海市环翠区光明路专卖店
T2x,性能赛道,机器出现卡顿黑屏且半天缓不过来的现象，其之前来电反馈为其建品质单分析，其表示已经这么多天过去了也没结果，其表示其当前的30天换机时效快过了，表示你们这边的人也不着急，要求尽快给出合理处理方案。其当前在湖北，其表示之后将回河北衡水市区里。BPM单：TSNXCN-2022071400042
T2x,内置程序,反馈内容：用户发帖描述：自己的手机在拨打110时必须要给位置权限，耽误自己报案，让自己受了气，别的手机都不给位置权限拨通110，公司强制用户给权限垃圾，建议用户配合抓取log日志分析，用户描述不会操作，咨询是哪一步操作不了，用户回复这么繁琐一个消费者怎么可能操作得了，就一台手机。还得把操作步骤写在纸上，已经告知测试拨打110时，有显示开启报警辅助共享位置，若不开启此权限，是可以正常拨打出去的，用户描述我们是在质疑，不相信他，请联系；用户有发5条帖子论坛反馈网址：https://bbs.vivo.com.cn/newbbs/thread/33586979反馈人：吴春梅反馈平台：vivo论坛
T2x,内置程序,机器出现需要更换屏幕保护膜的现象，目前在河北省保定市徐水区，咨询体验店（河北省保定市莲池区东三环未来石万达广场一楼1002，电话：138***3563），工作人员告知其没有保护膜，来电希望公司协助换膜处理。
T2x,性能赛道,用户反馈产品使用卡顿，没有信号，要求退货，此单已经超出退换货时效，跟用户协商前往服务中心检测，开具质量问题检测单，若是产品质量问题可以特殊处理换货一次，用户不接受，情绪激动，扬言投诉，烦请协助处理
T2x,内置程序,为什么不能给小V换名字
T2x,性能赛道,游戏登录进不去，就加载到百分之百它就没反应了
T2x,内置程序,请问拨打电话会根据说话的内容出现文字怎么回事
T2x,性能赛道,微信扫码打开相机慢扫码卡的不行，刚打开屏幕手机经常卡的很一会儿就没事儿了
T2x,性能赛道,刷个抖音都卡，系统优化不行，希望得到官方的重视
T2x,内置程序,充值后还继续谈出充值界面
T2x,性能赛道,请把天气精准到每小时显示
T2x,内置程序,怎么卸载系统自带软件
T2x,内置程序,怎么发短信说明事情的祥钿情况
T2x,性能赛道,下载加载的时候手机系统会网络停顿好久，需要优化
T2x,性能赛道,一直在加载半天了还是那样，，，
T2x,内置程序,上个版本游戏魔盒有变声器，这个系统更新一下给取消了？
T2x,内置程序,自带的输入法英文模式输入太难用了，希望出一个类似搜狗输入法英文Pro输入模式，如附加图所示。开发人员可以安装搜狗输入法体现下这种模式，真的比目前Jovi输入法英文输入模式好用？
T2x,性能赛道,卡顿点进去慢刚买的怎么事
T2x,内置程序,"垃圾短信拦截后直接自动删除好吧,不是每一个人都喜欢看一眼再删除"
T2x,内置程序,语音无法唤醒jovi，试过安静环境录用语音，也换过唤醒名称，但就是唤醒不了
T2x,内置程序,建议增加息屏时钟功能
T2x,内置程序,能不能同时开两个或者多个APP的声音，并且可以单独调试每个APP的声音
T2x,内置程序,文件管理查看不到微信下载的文件，对我来说很不方便啊
T2x,性能赛道,手机用不到20分钟，就开始卡了，
T2x,内置程序,这游戏有本事你就不要设置什么竖条的，我他娘的都快累到顶了还不出现，恶心
T2x,内置程序,希望增加禁止app自动打开其它app功能，给一个弹窗，由用户决定是否打开
T2x,内置程序,平台的信息能收到，个人的短信收不到
T2x,内置程序,支付保险箱为何无法添加别的支付应用
T2x,内置程序,建设银行登录需要验证码 但是发不出信息
T2x,内置程序,收不到验证码，发信息发不出去
T2x,内置程序,😭😭😭😭我买了这么贵的手机，居然没有微信等等信息来了闪灯光通知，真的太失望了，其他的功能非常满意，就是没有闪灯光信息通知。明知道现在的手机都是信息功能的，却不出一个闪灯光通知。我希望官方大大系统更新出一个新功能，出一个闪灯光功能，希望优化一下！非常感谢官方大大，以后会多多支持，感谢官方升级系统出一个微信等等闪灯光功能。希望出一个，万分感谢，生意兴隆！！！
T2x,内置程序,接听电话时无法调出接听界面，今天拔打电话时对方没接听电话要关闭拔号，只能等他退出
T2x,内置程序,所有APP怎么才能分享出去？正常情况下长按APP图标会有分享功能，这款手机怎么没有？
