model,type,review
S12 Pro,内置程序,用户来电表示自己昨天买了手机让其加了200块钱购买屏保，其表示自己在当地问都是没有屏保，其提供了条码帮其查询购买的不是官方碎屏保，询问其是不是购买的第三方的其不知道，其表示购买点说的全国每一个vivo官方售后服务中心都能使用。购买点：河南省郑州市二七迪信通总店
S12 Pro,内置程序,用户在手机官网app--我的--S12新机权益--S12代言人专属主题--i主题页面，提示页面被偷走了，换了网络，不同时间点击都不行。
S12 Pro,内置程序,1月3日于河北秦皇岛海港区秦皇岛商城商场金源经销商处（预留号码：155***5711）购买S12Pro手机，销售人员告知其元旦购机会赠送碎屏保，36小时自动激活。到5号为止其并未查询到有碎屏保。来电要求公司协助处理。
S12 Pro,内置程序,用户官网买的手机1月3日收到货，现在装入联通+电信两张卡使用中发现设置成上网卡的就会显示5G，另一张就不显示5G，只有4G。表示两张卡都已经开启volte，当地运营商覆盖的5G网络模式有NAS和SA两种，小米手机在同一个地方都能显示双5G，担心是机器问题，来电希望公司协助处理。目前在吉林省长春市，要求给其反馈到欧亚卖场的客服中心。
S12 Pro,续航赛道,机器出现待机耗电快，要求换机，其表示昨天已经在售后（山东省青岛市李沧区，具体不详）检测，售后告知其手机没有问题，其表示手机没有使用就是耗电快，现来电要求公司协助换机。
S12 Pro,内置程序,***;中文句号;vivos12pro拍照片怎么调;如何开启6400万拍摄;如何设置3200万像素拍摄;如何开启美颜;如何开启侧脸美颜;如何开启儿童美颜;关闭6400万拍摄
S12 Pro,性能赛道,用户来电反馈机器于2022/1/2通过线下门店购机，出现电源键按不动的现象，音量键使用正常，来电希望公司协助。
S12 Pro,性能赛道,财产损失：手机重要资料丢失用户需求：要求导资料，如无法导出资料，要求赔偿资料损失88万元。故障现象：故障现象卡VIVO界面，用户2022.2.9号送修要求导资料，售后把机器返工厂导资料工厂检测内存坏资料也无法导出。用户反馈情况：表示机器里的资料很重要比如联系人，短信，照片，视频，微信聊天记录等，现在用户的诉求是要求赔偿资料损失八十八万。
S12 Pro,性能赛道,用户昵称：/内容描述：用户来访表示才买的手机触屏不灵，安抚并正常排查，手机温度适宜，未贴第三方膜，重启无效，根据提供的视频查看到多个使用情况，都存在触屏不灵的问题，引导服务中心检测，用户表示不在延安，并表示该现象并非经常发生，安抚告知可以抓取log为其反馈，用户表示要投诉电话，告知没有直接投诉的渠道，可以为其反馈，会有专门的工作人员联系其，承诺48小时内联系，用户要求一天内，告知为其备注，用户表示要打12315。告知会为其妥善处理，安抚致歉，告知为其反馈。反馈平台：vivo客户服务_微信反馈人：李苹
S12 Pro,内置程序,用户（156***1516）再次来电说今天下午14：46有未接来电；核实下午有工作人员联系欲告知提供提取码和售后对比测试，提供提取码：221277；用户称2/21号和2/25号已经去售后对比测试，售后称是这一批手机系统版本问题，用户称也不是什么大问题，之前购买了好几部手机都是原价，希望能到达一点补偿，告知帮其反馈48小时内回电。BPM单号：TSNXCN-2022022100193（S12Projovi语音设置了自己的声音后其他人可以喊出，喊Hi，siri能够喊出jovi）
S12 Pro,内置程序,机器熄屏显示图案在屏幕上会至少停留5分钟，会烧屏。其不愿意亲自去售后，也不接受寄修，目前在浙江省绍兴市越城区，希望公司协助处理。今天是购买第16天
S12 Pro,内置程序,用户来电表示新购买的S12ProNFC不能识别实体公交卡进行充值，表示之前使用的X23手机开启了NFC开关，手机触碰实体的公交卡时，可以通过下载的第三方软件进行充值。致歉安抚，告知其反馈核实处理，24小时有对应工作人员主动联系，其接受。
S12 Pro,内置程序,用户来电表示因手机没有信号，接打不了电话，于2022年3月7日前往沧州市新华区新华东路客户服务中心检测手机，地址：沧州市新华区新华东路17号联通大厦智慧广场1层西门vivo体验店，售后预留手机号：152***9951。售后检测后承诺为其换新机，但是由于当天没有新机，告知其为其调新机，需要2、3天，现在还未更换。手机2022年3月12日购买就超过30天了，现在当地有疫情不能出门，售后也因疫情没有营业（2022年03月09日～2022年03月11日应政府防疫要求，暂停营业），来电说明情况，要求协助其后续换新机。
S12 Pro,内置程序,机器微信打不开，手机卡顿，互传一键换机导过来的照片，剪辑的时候使用不了问题，正常排查，其表示买来第二天，2.7/8号售后就换机过了（核实官方：兰州市城关区武都路客户服务中心），结果使用不到1个月还是有很多问题，其表示不想用了，想要退机，来电要求公司协助处理。用户目前地址：浙江省嘉兴市嘉善县售后预留号码：153***4658
S12 Pro,内置程序,"用户来电表示2.25购机S12Pro,出现了新机耗电快，小窗闪退，充电慢，网络信号不稳定的问题，手机快到一个月换机时间，因为疫情原因不方便售后，来电要求公司协助处理换机。"
S12 Pro,发热赛道,机器出现卡顿，发热的现象，于3月18日亲自将机器送到盘锦市兴隆台区中兴路客户服务中心检测（经确认，是公司售后服务中心），被告知没有问题，表示之前也检测过，也是告知没有问题，自己回家使用还是存在同样的问题，表示自己目前就在售后现场，自己不是当地人，要求现在就要为其处理，来电对售后处理方案不满，来电要求公司协助处理。
S12 Pro,性能赛道,用户名：董用户地址：河北省秦皇岛市反馈内容：用户来访告知手机升级后微信小窗发送语音不灵敏，正常排查抓取log，用户多次询问多久回复，告知3到5个工作日，用户不满，认为这么长时间都无法在7天无理由退换了，告知可以先去售后检测，用户认为这个是系统问题检测也无法检测出结果，不满足退换，但是分析时间需要这么长，是手机的问题，希望得到补偿，告知是否是手机问题需要检测分析，如果担心手机质量问题可以前往服务中心检测，用户说检测要时间车费告知寄修，用户只有一个手机，建议和售后协商是否可以通过后备用机，多次为其提供办法，用户需求是手机问题想得到一些补偿一些礼品，告知帮其反馈，正常挂断。反馈平台：vivo客户服务_微信反馈人：邱培
